a	b	c	d	m	residual	tail_over_scale	secs
-816	463	-1951	1107	1	7.5224e-30	3.2e-30	1128
-883	778	-1951	1719	1	1.8706e-29	8.18e-30	1128
-314	75	-1951	466	1	2.788e-31	1.44e-30	1482
-204	55	-1951	526	1	1.3278e-30	7.52e-30	1453
-335	176	-1951	1025	1	6.4222e-31	8.7e-31	1432
-703	307	-1951	852	1	8.5503e-30	1.44e-30	1701
-319	69	-1951	422	1	3.8694e-31	1.27e-30	1704
-567	220	-1951	757	1	8.619e-31	7.29e-31	1701
-1237	965	-1951	1522	1	1.8485e-29	1.1e-30	1708
-310	201	-1951	1265	1	1.0753e-30	1.05e-30	1412
-700	451	-1951	1257	1	1.1094e-30	4.57e-31	1414
