a,b,c,d
-1,-1,0,-1
-155,46,-1951,579
-168,31,-1951,360
-182,157,-1951,1683
-367,280,-3902,2977
-190,41,-1951,421
-204,55,-1951,526
-208,79,-1951,741
-222,85,-1951,747
-226,49,-1951,423
-232,127,-1951,1068
-235,96,-1951,797
-995,759,-7804,5953
-748,177,-5853,1385
-752,549,-5853,4273
-507,293,-3902,2255
-256,95,-1951,724
-263,55,-1951,408
-265,196,-1951,1443
-535,443,-3902,3231
-2145,1682,-15608,12239
-806,191,-5853,1387
-541,207,-3902,1493
-286,157,-1951,1071
-577,219,-3902,1481
-1739,674,-11706,4537
-1451,841,-9755,5654
-291,247,-1951,1656
-1175,494,-7804,3281
-2059,1261,-13657,8364
-295,251,-1951,1660
-593,412,-3902,2711
-298,181,-1951,1185
-302,239,-1951,1544
-304,79,-1951,507
-611,189,-3902,1207
-307,169,-1951,1074
-310,201,-1951,1265
-3418,1015,-21461,6373
-1865,806,-11706,5059
-1867,1441,-11706,9035
-314,75,-1951,466
-631,136,-3902,841
-319,69,-1951,422
-334,63,-1951,368
-335,176,-1951,1025
-671,579,-3902,3367
-338,79,-1951,456
-341,201,-1951,1150
-342,193,-1951,1101
-346,155,-1951,874
-347,98,-1951,551
-349,205,-1951,1146
-352,223,-1951,1236
-357,157,-1951,858
-1076,389,-5853,2116
-2159,1576,-11706,8545
-361,136,-1951,735
-362,95,-1951,512
-727,226,-3902,1213
-3275,1939,-17559,10396
-7645,5376,-40971,28811
-365,281,-1951,1502
-1842,1139,-9755,6032
-3326,2567,-17559,13552
-2588,989,-13657,5219
-371,143,-1951,752
-374,157,-1951,819
-376,143,-1951,742
-403,170,-1951,823
-1213,555,-5853,2678
-2832,1081,-13657,5213
-405,301,-1951,1450
-406,185,-1951,889
-409,248,-1951,1183
-412,223,-1951,1056
-413,192,-1951,907
-1243,958,-5853,4511
-415,251,-1951,1180
-416,287,-1951,1346
-2097,1646,-9755,7657
-2098,1647,-9755,7658
-4619,1371,-21461,6370
-3781,868,-17559,4031
-843,641,-3902,2967
-845,293,-3902,1353
-426,307,-1951,1406
-855,353,-3902,1611
-429,157,-1951,714
-437,155,-1951,692
-1316,925,-5853,4114
-440,311,-1951,1379
-441,283,-1951,1252
-442,157,-1951,693
-444,307,-1951,1349
-1779,799,-7804,3505
-5787,1612,-25363,7065
-5788,3555,-25363,15578
-2227,844,-9755,3697
-1339,555,-5853,2426
-447,181,-1951,790
-895,353,-3902,1539
-4481,1828,-19510,7959
-2242,829,-9755,3607
-452,275,-1951,1187
-1360,517,-5853,2225
-1817,539,-7804,2315
-1364,749,-5853,3214
-458,331,-1951,1410
-921,545,-3902,2309
-3230,1363,-13657,5763
-3239,2204,-13657,9293
-10644,2873,-44873,12112
-464,127,-1951,534
-935,733,-3902,3059
-470,331,-1951,1374
-501,397,-1951,1546
-502,273,-1951,1061
-4033,1116,-15608,4319
-5043,3847,-19510,14883
-505,161,-1951,622
-510,361,-1951,1381
-515,326,-1951,1235
-517,190,-1951,717
-523,204,-1951,761
-524,159,-1951,592
-1579,856,-5853,3173
-6845,3957,-25363,14662
-1580,1377,-5853,5101
-3161,2578,-11706,9547
-527,480,-1951,1777
-528,223,-1951,824
-535,351,-1951,1280
-3747,1447,-13657,5274
-2143,1158,-7804,4217
-5895,3611,-21461,13146
-4289,1776,-15608,6463
-3754,1569,-13657,5708
-537,169,-1951,614
-1612,997,-5853,3620
-539,234,-1951,847
-7019,2864,-25363,10349
-3781,1116,-13657,4031
-541,414,-1951,1493
-543,457,-1951,1642
-4892,2043,-17559,7333
-1631,491,-5853,1762
-544,191,-1951,685
-545,426,-1951,1525
-1095,323,-3902,1151
-548,191,-1951,680
-550,201,-1951,713
-564,331,-1951,1145
-566,349,-1951,1203
-567,220,-1951,757
-570,421,-1951,1441
-1141,929,-3902,3177
-2285,679,-7804,2319
-1715,1107,-5853,3778
-572,443,-1951,1511
-3457,2025,-11706,6857
-577,438,-1951,1481
-2309,1427,-7804,4823
-2897,2023,-9755,6812
-1741,1075,-5853,3614
-581,500,-1951,1679
-582,247,-1951,828
-2943,2069,-9755,6858
-2357,1447,-7804,4791
-590,251,-1951,830
-595,276,-1951,905
-1191,1010,-3902,3309
-1787,701,-5853,2296
-597,250,-1951,817
-602,465,-1951,1507
-605,476,-1951,1535
-608,383,-1951,1229
-618,223,-1951,704
-626,283,-1951,882
-671,487,-1951,1416
-1349,828,-3902,2395
-1381,871,-3902,2461
-699,541,-1951,1510
-700,451,-1951,1257
-701,392,-1951,1091
-703,307,-1951,852
-705,331,-1951,916
-707,262,-1951,723
-716,527,-1951,1436
-1439,586,-3902,1589
-5039,3655,-13657,9906
-2881,1116,-7804,3023
-1441,931,-3902,2521
-2164,1761,-5853,4763
-722,497,-1951,1343
-725,301,-1951,810
-727,452,-1951,1213
-1473,812,-3902,2151
-1475,863,-3902,2283
-2216,1285,-5853,3394
-6653,2542,-17559,6709
-3704,1635,-9755,4306
-744,511,-1951,1340
-3723,3020,-9755,7913
-2981,2099,-7804,5495
-2239,1573,-5853,4112
-1495,618,-3902,1613
-748,531,-1951,1385
-3013,2103,-7804,5447
-754,417,-1951,1079
-1509,1241,-3902,3209
9831,-3811,25363,-9832
-762,439,-1951,1124
-764,587,-1951,1499
-3059,1896,-7804,4837
-768,607,-1951,1542
-771,607,-1951,1536
-793,365,-1951,898
-1591,727,-3902,1783
-1593,1217,-3902,2981
-800,351,-1951,856
-801,661,-1951,1610
-802,349,-1951,849
-805,661,-1951,1602
-4849,3417,-11706,8249
-4891,2687,-11706,6431
-4078,1849,-9755,4423
-8973,3773,-21461,9024
-816,463,-1951,1107
-2459,1528,-5853,3637
-821,457,-1951,1086
-1647,1433,-3902,3395
-827,504,-1951,1189
-1681,744,-3902,1727
-4206,1901,-9755,4409
-3367,1973,-7804,4573
-4214,1899,-9755,4396
-844,491,-1951,1135
-3427,2839,-7804,6465
-6855,3767,-15608,8577
-857,405,-1951,922
-860,551,-1951,1250
-2585,1442,-5853,3265
-2588,1445,-5853,3268
-865,501,-1951,1130
-872,535,-1951,1197
-2626,2141,-5853,4772
-1751,1090,-3902,2429
-877,739,-1951,1644
-879,460,-1951,1021
-2639,2024,-5853,4489
-880,751,-1951,1665
-4402,2731,-9755,6052
-2645,1447,-5853,3202
-883,778,-1951,1719
-2651,1453,-5853,3208
-2680,1957,-5853,4274
-895,706,-1951,1539
-1029,577,-1951,1094
-1035,661,-1951,1246
-2075,1163,-3902,2187
-1044,823,-1951,1538
-1046,727,-1951,1356
-1053,625,-1951,1158
-3175,2517,-5853,4640
-5294,3273,-9755,6031
-2119,1255,-3902,2311
-1069,726,-1951,1325
-5449,3380,-9755,6051
-1093,893,-1951,1594
-1095,646,-1951,1151
-1099,703,-1951,1248
-1100,751,-1951,1332
-1104,799,-1951,1412
-1121,782,-1951,1361
-1123,788,-1951,1369
-1127,822,-1951,1423
-7894,6027,-13657,10427
-1128,895,-1951,1548
-1132,915,-1951,1577
-2265,1403,-3902,2417
-1134,787,-1951,1354
-1141,717,-1951,1226
-3427,2643,-5853,4514
-2285,1358,-3902,2319
-9145,6632,-15608,11319
-1154,1015,-1951,1716
-15014,10859,-25363,18344
-1190,871,-1951,1428
-1194,847,-1951,1384
15531,-9511,25363,-15532
-4781,3016,-7804,4923
-10784,6663,-17559,10849
-1199,971,-1951,1580
-1204,1067,-1951,1729
-4817,3772,-7804,6111
-10850,6739,-17559,10906
-4839,3535,-7804,5701
-1210,1081,-1951,1743
-6058,4675,-9755,7528
-1227,1066,-1951,1695
-1228,783,-1951,1244
-1234,907,-1951,1434
-1237,965,-1951,1522
-1238,889,-1951,1401
-1239,1018,-1951,1603
-1266,913,-1951,1407
-1271,914,-1951,1403
-2549,1997,-3902,3057
-9295,6723,-13657,9878
-1329,985,-1951,1446
-1337,969,-1951,1414
-1359,994,-1951,1427
-15091,11843,-21461,16842
-1372,1263,-1951,1796
-5489,4211,-7804,5987
-9626,6961,-13657,9876
-2751,1979,-3902,2807
-1417,1080,-1951,1487
-1444,1219,-1951,1647
-1485,1246,-1951,1637
-1495,1236,-1951,1613
-10701,8395,-13657,10714
-1529,1279,-1951,1632
-1530,1381,-1951,1761
-1543,1335,-1951,1688
-1583,1312,-1951,1617
